col,X,Y,row,elevation,system:index
4883,699138.8833123088,186765.447679376,179,23.113781,34_0
4858,699063.8926458469,186768.44730603448,178,22.368784,35_0
4858,699063.8926458469,186768.44730603448,178,22.368784,36_0
4883,699138.8833123088,186762.44805271752,180,22.751965,37_0
4857,699060.8930191884,186765.447679376,179,22.368784,38_0
4857,699060.8930191884,186765.447679376,179,22.368784,39_0
4884,699141.8829389673,186759.44842605904,181,22.751965,40_0
4857,699060.8930191884,186762.44805271752,180,22.16308,41_0
4857,699060.8930191884,186759.44842605904,181,22.16308,42_0
4885,699144.8825656257,186759.44842605904,181,22.751965,43_0
4886,699147.8821922842,186759.44842605904,181,22.668913,44_0
4886,699147.8821922842,186759.44842605904,181,22.668913,45_0
4856,699057.89339253,186756.44879940056,182,22.16308,46_0
4886,699147.8821922842,186756.44879940056,182,22.668913,47_0
4887,699150.8818189427,186753.4491727421,183,22.296045,48_0
4855,699054.8937658715,186759.44842605904,181,22.443075,49_0
4888,699153.8814456012,186753.4491727421,183,22.296045,50_0
4855,699054.8937658715,186762.44805271752,180,22.443075,51_0
4889,699156.8810722596,186753.4491727421,183,22.28404,52_0
4855,699054.8937658715,186765.447679376,179,22.706873,53_0
4855,699054.8937658715,186765.447679376,179,22.706873,54_0
4854,699051.894139213,186762.44805271752,180,22.443075,55_0
4853,699048.8945125546,186759.44842605904,181,23.124165,56_0
4890,699159.8806989181,186753.4491727421,183,22.28404,57_0
4854,699051.894139213,186765.447679376,179,22.706873,58_0
4854,699051.894139213,186765.447679376,179,22.706873,59_0
4852,699045.8948858961,186759.44842605904,181,23.124165,60_0
4852,699045.8948858961,186759.44842605904,181,23.124165,61_0
4851,699042.8952592376,186756.44879940056,182,23.124165,62_0
4891,699162.8803255766,186753.4491727421,183,22.28404,63_0
4850,699039.8956325791,186756.44879940056,182,23.302856,64_0
4849,699036.8960059207,186756.44879940056,182,23.302856,65_0
4849,699036.8960059207,186756.44879940056,182,23.302856,66_0
4892,699165.879952235,186756.44879940056,182,22.8634,67_0
4892,699165.879952235,186756.44879940056,182,22.8634,68_0
4848,699033.8963792622,186753.4491727421,183,23.302856,69_0
4893,699168.8795788935,186756.44879940056,182,22.8634,70_0
4847,699030.8967526037,186753.4491727421,183,23.1924,71_0
4894,699171.879205552,186756.44879940056,182,22.84012,72_0
4846,699027.8971259453,186753.4491727421,183,23.1924,73_0
4895,699174.8788322106,186756.44879940056,182,22.84012,74_0
4845,699024.8974992868,186753.4491727421,183,23.1924,75_0
4896,699177.878458869,186747.44991942515,185,22.50458,76_0
4897,699180.8780855275,186750.44954608363,184,22.199564,77_0
4897,699180.8780855275,186750.44954608363,184,22.199564,78_0
4844,699021.8978726283,186753.4491727421,183,23.601484,79_0
4844,699021.8978726283,186753.4491727421,183,23.601484,80_0
4896,699177.878458869,186759.44842605904,181,22.84012,81_0
4896,699177.878458869,186759.44842605904,181,22.84012,82_0
4896,699177.878458869,186759.44842605904,181,22.84012,83_0
4897,699180.8780855275,186756.44879940056,182,22.719711,84_0
4898,699183.877712186,186753.4491727421,183,22.199564,85_0
4898,699183.877712186,186753.4491727421,183,22.199564,86_0
4871,699102.8877924071,186669.45962630483,211,22.489632,87_0
4871,699102.8877924071,186669.45962630483,211,22.489632,88_0
4872,699105.8874190656,186672.45925296328,210,22.489632,89_0
4892,699165.879952235,186732.4517861328,190,22.407555,90_0
